Timestamp	Do you consider yourself a native speaker of English?	Please select the first option.	Group #1: Is clip X most similar to A or B?	Group #2: Is clip X most similar to A or B?	Group #3: Is clip X most similar to A or B?	Group #4: Is clip X most similar to A or B?	Group #5: Is clip X most similar to A or B?	Group #6: Is clip X most similar to A or B?	Group #7: Is clip X most similar to A or B?	Group #8: Is clip X most similar to A or B?	Group #9: Is clip X most similar to A or B?	Group #10: Is clip X most similar to A or B?	Pair #1: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #2: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #3: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #4: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #5: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #6: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #7: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #8: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #9: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #10: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Please select the first option.	Group #1: Is clip X most similar to A or B?	Group #2: Is clip X most similar to A or B?	Group #3: Is clip X most similar to A or B?	Group #4: Is clip X most similar to A or B?	Group #5: Is clip X most similar to A or B?	Group #6: Is clip X most similar to A or B?	Group #7: Is clip X most similar to A or B?	Group #8: Is clip X most similar to A or B?	Group #9: Is clip X most similar to A or B?	Group #10: Is clip X most similar to A or B?	Pair #1: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #2: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #3: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #4: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #5: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #6: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #7: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #8: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #9: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #10: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]
25/12/2018 13:30:17	No	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	Definitely the same speaker 7	4	-4	4	5	5	Definitely a different speaker -7	-1	1	5	SPANISH F: https://kennywlino.github.io/msc_thesis/pages/spanish_female.html	B	A	B	B	B	B	A	A	B	A	Definitely the same speaker 7	-4	6	-1	6	5	6	Definitely a different speaker -7	4	-3
25/12/2018 21:04:47	No	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	B	A	A	B	A	A	A	A	B	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7
25/12/2018 21:40:40	Yes	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	A	A	A	B	B	Definitely a different speaker -7	Definitely a different speaker -7	4	-5	3	-6	Definitely the same speaker 7	2	Definitely a different speaker -7	6	HINDI M: https://kennywlino.github.io/msc_thesis/pages/hindi_male.html	B	A	A	B	A	A	B	B	A	A	Unsure 0	4	3	4	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7
26/12/2018 13:49:49	No	GLA F: https://kennywlino.github.io/msc_thesis/pages/gla_female.html	A	A	A	B	A	A	B	B	A	A	Definitely the same speaker 7	-5	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	-6	6	-5	-6	KOREAN F: https://kennywlino.github.io/msc_thesis/pages/korean_female.html	B	B	B	B	B	B	B	A	A	B	Definitely the same speaker 7	-6	-6	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	-5	Definitely the same speaker 7	1	-6
26/12/2018 19:38:55	No	EAN F:https://kennywlino.github.io/msc_thesis/pages/ean_female.html	B	A	A	B	A	A	B	A	A	A	-1	Definitely a different speaker -7	-5	-5	5	2	Definitely the same speaker 7	3	Definitely a different speaker -7	Definitely the same speaker 7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	Definitely a different speaker -7	5	Definitely a different speaker -7	-5	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	4	-5	2
27/12/2018 01:20:32	Yes	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	A	B	B	A	A	B	B	A	A	A	2	-4	-5	2	-3	-5	-4	-4	-5	-5	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	-6	6	-3	-5	-6	6	-5	5	6	6
27/12/2018 01:52:25	No	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7
27/12/2018 01:52:35	No	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7
27/12/2018 02:05:21	No	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	A	A	A	A	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7
27/12/2018 02:54:40	No	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	B	A	B	B	A	A	B	A	B	B	3	6	-4	5	6	Definitely a different speaker -7	-5	-5	2	4	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	B	A	A	A	-6	Definitely the same speaker 7	Definitely the same speaker 7	2	-4	6	-3	5	3	4
